[2025-09-28 20:36:54] Usuario: ANONIMO | Método: POST | Endpoint: /inventario/api/auth/login
[2025-09-28 20:38:51] Usuario: admin | Método: POST | Endpoint: /inventario/api/
[2025-09-28 20:40:01] Usuario: admin | Método: GET | Endpoint: /inventario/api/
[2025-09-28 20:40:22] Usuario: admin | Método: GET | Endpoint: /inventario/api/usuarios
[2025-09-28 20:40:30] Usuario: admin | Método: GET | Endpoint: /inventario/api/usuarios/
[2025-09-28 20:43:45] Usuario: ANONIMO | Método: POST | Endpoint: /inventario/api/auth/login
[2025-09-28 20:43:50] Usuario: admin | Método: GET | Endpoint: /inventario/api/usuarios/
[2025-09-28 20:46:53] Usuario: admin | Método: GET | Endpoint: /inventario/api/usuarios/username/admin
[2025-09-28 20:47:02] Usuario: admin | Método: GET | Endpoint: /inventario/api/usuarios/id/1
[2025-09-28 20:50:41] Usuario: admin | Método: GET | Endpoint: /inventario/api/usuarios/crear
[2025-09-28 20:50:55] Usuario: admin | Método: POST | Endpoint: /inventario/api/usuarios/crear
[2025-09-28 20:51:51] Usuario: admin | Método: POST | Endpoint: /inventario/api/usuarios/crear
[2025-09-28 20:54:27] Usuario: ANONIMO | Método: POST | Endpoint: /inventario/api/auth/login
[2025-09-28 20:54:41] Usuario: admin | Método: POST | Endpoint: /inventario/api/usuarios/crear
[2025-09-28 20:56:37] Usuario: admin | Método: POST | Endpoint: /inventario/api/usuarios/modificar
[2025-09-28 20:56:53] Usuario: admin | Método: PUT | Endpoint: /inventario/api/usuarios/modificar
[2025-09-28 21:00:01] Usuario: admin | Método: PUT | Endpoint: /inventario/api/usuarios/id/2/activar
[2025-09-28 21:01:05] Usuario: admin | Método: PUT | Endpoint: /inventario/api/usuarios/username/juanpi1/activar
[2025-09-28 21:02:17] Usuario: admin | Método: PUT | Endpoint: /inventario/api/usuarios/username/juanpi1/activar
[2025-09-28 21:03:45] Usuario: ANONIMO | Método: POST | Endpoint: /inventario/api/auth/login
[2025-09-28 21:03:52] Usuario: admin | Método: PUT | Endpoint: /inventario/api/usuarios/username/juanpi1/activar
[2025-09-28 21:06:09] Usuario: admin | Método: PUT | Endpoint: /inventario/api/usuarios/id/2/desactivar
[2025-09-28 21:06:32] Usuario: admin | Método: PUT | Endpoint: /inventario/api/usuarios/id/2/activar
